directory,label
normal/00000.42797_100.png,0
normal/00000.42797_200.png,0
normal/00000.42797_30.png,0
normal/00010.40911_100.png,0
normal/00010.40911_30.png,0
normal/00020.090104_100.png,0
normal/00020.090104_200.png,0
normal/00020.090104_30.png,0
normal/00040.56097_100.png,0
normal/00040.56097_200.png,0
normal/00060.44795_100.png,0
normal/00060.44795_30.png,0
normal/0034082_20220209_normal_15470.076939_100.png,0
normal/0034082_20220209_normal_15470.076939_200.png,0
normal/0034082_20220209_normal_15470.076939_30.png,0
normal/0034082_20220209_normal_22590.71396_100.png,0
normal/0034082_20220209_normal_22590.71396_200.png,0
normal/0034082_20220209_normal_22590.71396_30.png,0
normal/0034082_20220209_normal_30500.29419_100.png,0
normal/0034082_20220209_normal_30500.29419_200.png,0
normal/0034082_20220209_normal_47220.55562_100.png,0
normal/0034082_20220209_normal_47220.55562_200.png,0
normal/0034082_20220209_normal_47220.55562_30.png,0
normal/0034082_20220209_normal_57830.53922_100.png,0
normal/0034082_20220209_normal_57830.53922_200.png,0
normal/0034082_20220209_normal_57830.53922_30.png,0
normal/0034082_20220209_normal_66980.0368_200.png,0
normal/0034082_20220209_normal_74410.024615_100.png,0
normal/0034082_20220209_normal_74410.024615_30.png,0
normal/0185084_20220904_normal_44440.34938_100.png,0
normal/0185084_20220904_normal_77770.052092_100.png,0
normal/0185084_20220904_normal_77770.052092_30.png,0
normal/0187020_20220904_normal_27360.18665_200.png,0
normal/0187020_20220904_normal_27360.18665_30.png,0
normal/0187020_20220904_normal_29310.32338_100.png,0
normal/0187020_20220904_normal_29310.32338_30.png,0
normal/0187020_20220904_normal_29830.14307_100.png,0
normal/0187020_20220904_normal_29830.14307_200.png,0
normal/0187020_20220904_normal_29830.14307_30.png,0
normal/0187020_20220904_normal_82340.58706_100.png,0
normal/0187020_20220904_normal_82340.58706_200.png,0
normal/0187020_20220904_normal_82340.58706_30.png,0
normal/0196640_20220904_normal_11110.66577_100.png,0
normal/0196640_20220904_normal_11110.66577_30.png,0
normal/0196640_20220904_normal_33330.47265_100.png,0
normal/0196640_20220904_normal_33330.47265_30.png,0
normal/0196640_20220904_normal_44440.029456_100.png,0
normal/0196640_20220904_normal_44440.029456_200.png,0
normal/0196640_20220904_normal_44440.029456_30.png,0
normal/0196686_20220904_normal_54940.0027171_100.png,0
normal/0196686_20220904_normal_54940.0027171_200.png,0
normal/0196686_20220904_normal_54940.0027171_30.png,0
normal/0196686_20220904_normal_54960.56468_100.png,0
normal/0196686_20220904_normal_54960.56468_30.png,0
normal/0196686_20220904_normal_54970.24651_30.png,0
normal/0196686_20220904_normal_54990.31983_100.png,0
normal/0196686_20220904_normal_54990.31983_30.png,0
normal/0199122_20220901_normal_22130.50667_100.png,0
normal/0199122_20220901_normal_22130.50667_30.png,0
normal/0199122_20220901_normal_22140.78224_100.png,0
normal/0199122_20220901_normal_22140.78224_30.png,0
normal/0199122_20220901_normal_22150.79583_100.png,0
normal/0199122_20220901_normal_22170.47574_100.png,0
normal/0199122_20220901_normal_22170.47574_30.png,0
normal/0199179_20220831_normal_22100.13594_100.png,0
normal/0199179_20220831_normal_22100.13594_30.png,0
normal/0199179_20220831_normal_30130.30231_100.png,0
